region,happines_score_average,social_support_average
"Australia and New Zealand",7.294600009918213,1.4243677020072938
"North America",7.174700021743774,1.3579909443855285
"Western Europe",6.759310666797231,1.3388514426148053
"Latin America and Caribbean",6.023810809796995,1.1870329202832401
"Western Asia",5.77649998664856,1.231499969959259
"Eastern Asia",5.651566648483277,1.1992315669854483
"Central and Eastern Europe",5.427806906864561,1.1723676337250348
"Southeastern Asia",5.335227288983085,1.0936725220896981
"Middle East and Northern Africa",5.322084203519319,0.9957553276890203
"Southern Asia",4.580657121113369,0.8038352721503803
"Sub-Saharan Africa",4.190153046530121,0.8456895239271072
